Year,Age,Level,Employer,Role,Coach
1984,58,NFL,Minnesota Vikings,Quality Control,Bob Hollway
1985,59,NFL,Minnesota Vikings,Defensive Coordinator,Bob Hollway
1967,32,NFL,New Orleans Saints,Defensive Line,Ed Khayat
1968,33,NFL,New Orleans Saints,Defensive Line,Ed Khayat
1969,34,NFL,New Orleans Saints,Defensive Line,Ed Khayat
1970,35,NFL,New Orleans Saints,Defensive Line,Ed Khayat
1971,36,NFL,Philadelphia Eagles,Head Coach,Ed Khayat
1972,37,NFL,Philadelphia Eagles,Head Coach,Ed Khayat
1973,38,NFL,Detroit Lions,Defensive Line,Ed Khayat
1974,39,NFL,Detroit Lions,Defensive Line,Ed Khayat
1975,40,NFL,Atlanta Falcons,Defensive Line,Ed Khayat
1976,41,NFL,Atlanta Falcons,Defensive Line,Ed Khayat
1977,42,NFL,Baltimore Colts,Defensive Line,Ed Khayat
1978,43,NFL,Baltimore Colts,Defensive Line,Ed Khayat
1979,44,NFL,Baltimore Colts,Defensive Line,Ed Khayat
1980,45,NFL,Baltimore Colts,Defensive Line,Ed Khayat
1981,46,NFL,Baltimore Colts,Defensive Line,Ed Khayat
1982,47,NFL,Detroit Lions,Defensive Line,Ed Khayat
1983,48,NFL,Detroit Lions,Defensive Line,Ed Khayat
1984,49,NFL,Detroit Lions,Defensive Line,Ed Khayat
1985,50,NFL,New England Patriots,Defensive Line,Ed Khayat
1986,51,NFL,New England Patriots,Defensive Line,Ed Khayat
1987,52,NFL,New England Patriots,Defensive Line,Ed Khayat
1988,53,NFL,New England Patriots,Defensive Line,Ed Khayat
1989,54,NFL,New England Patriots,Defensive Line,Ed Khayat
1991,56,AFL,New Orleans Night,Head Coach,Ed Khayat
1992,57,NFL,Tampa Bay Buccaneers,Defensive Line,Ed Khayat
1993,58,NFL,Tampa Bay Buccaneers,Defensive Line,Ed Khayat
1997,62,AFL,Nashville Kats,Head Coach,Ed Khayat
1998,63,AFL,Nashville Kats,Head Coach,Ed Khayat
2003,68,AFL,Carolina Cobras,Head Coach,Ed Khayat
1959,29,College,UMass,Assistant Coach,Dick MacPherson
1960,30,College,UMass,Assistant Coach,Dick MacPherson
1961,31,College,Cincinnati,Assistant Coach,Dick MacPherson
1962,32,College,Cincinnati,Assistant Coach,Dick MacPherson
1963,33,College,Cincinnati,Assistant Coach,Dick MacPherson
1964,34,College,Cincinnati,Assistant Coach,Dick MacPherson
1965,35,College,Cincinnati,Assistant Coach,Dick MacPherson
1966,36,College,Maryland,Assistant Coach,Dick MacPherson
1967,37,NFL,Denver Broncos,Defensive Backs,Dick MacPherson
1968,38,NFL,Denver Broncos,Defensive Backs,Dick MacPherson
1969,39,NFL,Denver Broncos,Linebackers,Dick MacPherson
1970,40,NFL,Denver Broncos,Linebackers,Dick MacPherson
1971,41,College,UMass,Head Coach,Dick MacPherson
1972,42,College,UMass,Head Coach,Dick MacPherson
1973,43,College,UMass,Head Coach,Dick MacPherson
1974,44,College,UMass,Head Coach,Dick MacPherson
1975,45,College,UMass,Head Coach,Dick MacPherson
1976,46,College,UMass,Head Coach,Dick MacPherson
1977,47,College,UMass,Head Coach,Dick MacPherson
1978,48,NFL,Cleveland Browns,Linebackers,Dick MacPherson
1979,49,NFL,Cleveland Browns,Linebackers,Dick MacPherson
1980,50,NFL,Cleveland Browns,Linebackers,Dick MacPherson
1981,51,College,Syracuse,Head Coach,Dick MacPherson
1982,52,College,Syracuse,Head Coach,Dick MacPherson
1983,53,College,Syracuse,Head Coach,Dick MacPherson
1984,54,College,Syracuse,Head Coach,Dick MacPherson
1985,55,College,Syracuse,Head Coach,Dick MacPherson
1986,56,College,Syracuse,Head Coach,Dick MacPherson
1987,57,College,Syracuse,Head Coach,Dick MacPherson
1988,58,College,Syracuse,Head Coach,Dick MacPherson
1989,59,College,Syracuse,Head Coach,Dick MacPherson
1990,60,College,Syracuse,Head Coach,Dick MacPherson
1991,61,NFL,New England Patriots,Head Coach,Dick MacPherson
1992,62,NFL,New England Patriots,Head Coach,Dick MacPherson
1918,24,College,Lincoln Univ. (PA),Head Coach,Fritz Pollard
1919,25,College,Lincoln Univ. (PA),Head Coach,Fritz Pollard
1921,27,NFL,Akron Pros,Head Coach,Fritz Pollard
1923,29,High School,Wendell Phillips HS (Chicago IL),Head Coach,Fritz Pollard
1925,31,NFL,Hammond Pros,Head Coach,Fritz Pollard
1951,24,High School,Wartburg Central HS (TN),Head Coach,Homer Rice
1952,25,High School,Spring City HS (TN),Head Coach,Homer Rice
1953,26,High School,Spring City HS (TN),Head Coach,Homer Rice
1954,27,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1955,28,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1956,29,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1957,30,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1958,31,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1959,32,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1960,33,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1961,34,High School,Ft. Thomas Highlands HS (KY),Head Coach,Homer Rice
1962,35,College,Kentucky,Offensive Assistant,Homer Rice
1963,36,College,Kentucky,Offensive Assistant,Homer Rice
1964,37,College,Kentucky,Offensive Assistant,Homer Rice
1965,38,College,Kentucky,Offensive Assistant,Homer Rice
1966,39,College,Oklahoma,Offensive Backfield,Homer Rice
1967,40,College,Cincinnati,Head Coach,Homer Rice
1968,41,College,Cincinnati,Head Coach,Homer Rice
1976,49,College,Rice,Head Coach,Homer Rice
1977,50,College,Rice,Head Coach,Homer Rice
1978,51,NFL,Cincinnati Bengals,Head Coach,Homer Rice
1979,52,NFL,Cincinnati Bengals,Head Coach,Homer Rice
1922,30,NFL,Dayton Triangles,Head Coach,Carl Storck
1923,31,NFL,Dayton Triangles,Head Coach,Carl Storck
1924,32,NFL,Dayton Triangles,Head Coach,Carl Storck
1925,33,NFL,Dayton Triangles,Head Coach,Carl Storck
1926,34,NFL,Dayton Triangles,Head Coach,Carl Storck
1929,26,NFL,Staten Island Stapletons,Head Coach,Doug Wycoff
1930,27,NFL,Staten Island Stapletons,Head Coach,Doug Wycoff
1950,24,College,Miami (OH),Defensive Line,Bill Arnsparger
1951,25,College,Ohio State,Defensive Line,Bill Arnsparger
1952,26,College,Ohio State,Defensive Line,Bill Arnsparger
1953,27,College,Ohio State,Defensive Line,Bill Arnsparger
1954,28,College,Kentucky,Defensive Line,Bill Arnsparger
1955,29,College,Kentucky,Defensive Line,Bill Arnsparger
1956,30,College,Kentucky,Defensive Line,Bill Arnsparger
1957,31,College,Kentucky,Defensive Line,Bill Arnsparger
1958,32,College,Kentucky,Defensive Line,Bill Arnsparger
1959,33,College,Kentucky,Defensive Line,Bill Arnsparger
1960,34,College,Kentucky,Defensive Line,Bill Arnsparger
1961,35,College,Kentucky,Defensive Line,Bill Arnsparger
1962,36,College,Tulane,Defensive Line,Bill Arnsparger
1963,37,College,Tulane,Defensive Line,Bill Arnsparger
1964,38,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1965,39,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1966,40,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1967,41,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1968,42,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1969,43,NFL,Baltimore Colts,Defensive Line,Bill Arnsparger
1970,44,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1970,44,NFL,Miami Dolphins,Defensive Coordinator/Linebackers,Bill Arnsparger
1971,45,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1971,45,NFL,Miami Dolphins,Defensive Coordinator/Linebackers,Bill Arnsparger
1972,46,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1972,46,NFL,Miami Dolphins,Defensive Coordinator/Linebackers,Bill Arnsparger
1973,47,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1973,47,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1974,48,NFL,New York Giants,Head Coach,Bill Arnsparger
1975,49,NFL,New York Giants,Head Coach,Bill Arnsparger
1976,50,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1976,50,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1976,50,NFL,New York Giants,Head Coach,Bill Arnsparger
1977,51,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1977,51,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1978,52,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1978,52,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1979,53,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1979,53,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1980,54,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1980,54,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1981,55,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1981,55,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1982,56,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1982,56,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1983,57,NFL,Miami Dolphins,Defensive Coordinator,Bill Arnsparger
1983,57,NFL,Miami Dolphins,Defensive Coordinator/Asst. Head Coach,Bill Arnsparger
1984,58,College,LSU,Head Coach,Bill Arnsparger
1985,59,College,LSU,Head Coach,Bill Arnsparger
1986,60,College,LSU,Head Coach,Bill Arnsparger
1992,66,NFL,San Diego Chargers,Defensive Coordinator,Bill Arnsparger
1993,67,NFL,San Diego Chargers,Defensive Coordinator,Bill Arnsparger
1994,68,NFL,San Diego Chargers,Defensive Coordinator,Bill Arnsparger
1934,24,College,Notre Dame,Freshman Coach,Hugh Devore
1935,25,College,Fordham,Line Coach,Hugh Devore
1936,26,College,Fordham,Line Coach,Hugh Devore
1937,27,College,Fordham,Line Coach,Hugh Devore
1938,28,College,Providence,Head Coach,Hugh Devore
1939,29,College,Providence,Head Coach,Hugh Devore
1940,30,College,Providence,Head Coach,Hugh Devore
1941,31,College,Providence,Head Coach,Hugh Devore
1942,32,College,Holy Cross,Assistant Coach,Hugh Devore
1943,33,College,Notre Dame,Assistant Coach,Hugh Devore
1944,34,College,Notre Dame,Assistant Coach,Hugh Devore
1945,35,College,Notre Dame,Head Coach,Hugh Devore
1946,36,College,St. Bonaventure,Head Coach,Hugh Devore
1947,37,College,St. Bonaventure,Head Coach,Hugh Devore
1948,38,College,St. Bonaventure,Head Coach,Hugh Devore
1949,39,College,St. Bonaventure,Head Coach,Hugh Devore
1950,40,College,NYU,Head Coach,Hugh Devore
1951,41,College,NYU,Head Coach,Hugh Devore
1952,42,College,NYU,Head Coach,Hugh Devore
1953,43,NFL,Green Bay Packers,Head Coach,Hugh Devore
1954,44,College,Dayton,Head Coach,Hugh Devore
1955,45,College,Dayton,Head Coach,Hugh Devore
1956,46,NFL,Philadelphia Eagles,Head Coach,Hugh Devore
1957,47,NFL,Philadelphia Eagles,Head Coach,Hugh Devore
1958,48,College,Notre Dame,Freshman Coach,Hugh Devore
1959,49,College,Notre Dame,Freshman Coach,Hugh Devore
1960,50,College,Notre Dame,Freshman Coach,Hugh Devore
1961,51,College,Notre Dame,Freshman Coach,Hugh Devore
1962,52,College,Notre Dame,Freshman Coach,Hugh Devore
1963,53,College,Notre Dame,Head Coach,Hugh Devore
1966,56,NFL,Houston Oilers,Assistant Coach,Hugh Devore
1967,57,NFL,Houston Oilers,Assistant Coach,Hugh Devore
1968,58,NFL,Houston Oilers,Assistant Coach,Hugh Devore
1969,59,NFL,Houston Oilers,Assistant Coach,Hugh Devore
1970,60,NFL,Houston Oilers,Assistant Coach,Hugh Devore
1953,37,CFL,Saskatchewan Roughriders,Head Coach,Frank Filchock
1954,38,CFL,Saskatchewan Roughriders,Head Coach,Frank Filchock
1955,39,CFL,Saskatchewan Roughriders,Head Coach,Frank Filchock
1956,40,CFL,Saskatchewan Roughriders,Head Coach,Frank Filchock
1957,41,CFL,Saskatchewan Roughriders,Head Coach,Frank Filchock
1958,42,ORFU,Sarnia Golden Bears,Head Coach,Frank Filchock
1959,43,CFL,Calgary Stampeders,Backfield Coach,Frank Filchock
1960,44,NFL,Denver Broncos,Head Coach,Frank Filchock
1961,45,NFL,Denver Broncos,Head Coach,Frank Filchock
1964,48,UFL,Quebec Rifles,Assistant Coach,Frank Filchock
1925,24,College,Georgetown,Assistant Coach,Herb Kopf
1926,25,College,Georgetown,Assistant Coach,Herb Kopf
1927,26,College,Georgetown,Assistant Coach,Herb Kopf
1928,27,College,Georgetown,Assistant Coach,Herb Kopf
1929,28,College,Georgetown,Assistant Coach,Herb Kopf
1930,29,College,Columbia,Assistant Coach,Herb Kopf
1931,30,College,Columbia,Assistant Coach,Herb Kopf
1932,31,College,Columbia,Assistant Coach,Herb Kopf
1933,32,College,Columbia,Assistant Coach,Herb Kopf
1934,33,College,Columbia,Assistant Coach,Herb Kopf
1935,34,College,Columbia,Assistant Coach,Herb Kopf
1936,35,College,Columbia,Assistant Coach,Herb Kopf
1937,36,College,Columbia,Assistant Coach,Herb Kopf
1938,37,College,Manhattan Coll.,Head Coach,Herb Kopf
1939,38,College,Manhattan Coll.,Head Coach,Herb Kopf
1940,39,College,Manhattan Coll.,Head Coach,Herb Kopf
1941,40,College,Manhattan Coll.,Head Coach,Herb Kopf
1942,41,College,Manhattan Coll.,Head Coach,Herb Kopf
1944,43,NFL,Boston Yanks,Head Coach,Herb Kopf
1945,44,NFL,Bos/Bkn Yanks/Tigers,Head Coach,Herb Kopf
1946,45,NFL,Boston Yanks,Head Coach,Herb Kopf
1948,47,College,Boston Coll.,Assistant Coach,Herb Kopf
1949,48,College,Boston Coll.,Assistant Coach,Herb Kopf
1950,49,College,Boston Coll.,Assistant Coach,Herb Kopf
1953,52,College,Brandeis Univ.,Assistant Coach,Herb Kopf
1954,53,College,Brandeis Univ.,Assistant Coach,Herb Kopf
1955,54,College,Brandeis Univ.,Assistant Coach,Herb Kopf
1956,55,College,Brandeis Univ.,Assistant Coach,Herb Kopf
1957,56,College,Brandeis Univ.,Assistant Coach,Herb Kopf
1957,25,College,Univ. of Denver,Assistant Coach,J.D. Roberts
1958,26,College,Oklahoma,Assistant Coach,J.D. Roberts
1959,27,College,Oklahoma,Assistant Coach,J.D. Roberts
1960,28,College,Navy,Assistant Coach,J.D. Roberts
1961,29,College,Auburn,Assistant Coach,J.D. Roberts
1962,30,College,Houston,Assistant Coach,J.D. Roberts
1963,31,College,Houston,Assistant Coach,J.D. Roberts
1964,32,College,Houston,Assistant Coach,J.D. Roberts
1967,35,NFL,New Orleans Saints,Linebackers,J.D. Roberts
1968,36,NFL,New Orleans Saints,Linebackers,J.D. Roberts
1969,37,ACFL,Richmond Roadrunners,Head Coach,J.D. Roberts
1970,38,NFL,New Orleans Saints,Head Coach,J.D. Roberts
1971,39,NFL,New Orleans Saints,Head Coach,J.D. Roberts
1972,40,NFL,New Orleans Saints,Head Coach,J.D. Roberts
1926,32,AFL,New York Yankees,Head Coach,Ralph Scott
1927,33,NFL,New York Yankees,Head Coach,Ralph Scott
1921,23,College,Columbia Univ. (OR),Head Coach,Clipper Smith
1922,24,College,Columbia Univ. (OR),Head Coach,Clipper Smith
1923,25,College,Columbia Univ. (OR),Head Coach,Clipper Smith
1924,26,College,Columbia Univ. (OR),Head Coach,Clipper Smith
1925,27,College,Gonzaga,Head Coach,Clipper Smith
1926,28,College,Gonzaga,Head Coach,Clipper Smith
1927,29,College,Gonzaga,Head Coach,Clipper Smith
1928,30,College,Gonzaga,Head Coach,Clipper Smith
1929,31,College,Santa Clara,Head Coach,Clipper Smith
1930,32,College,Santa Clara,Head Coach,Clipper Smith
1931,33,College,Santa Clara,Head Coach,Clipper Smith
1932,34,College,Santa Clara,Head Coach,Clipper Smith
1933,35,College,Santa Clara,Head Coach,Clipper Smith
1934,36,College,Santa Clara,Head Coach,Clipper Smith
1935,37,College,Santa Clara,Head Coach,Clipper Smith
1936,38,College,Villanova,Head Coach,Clipper Smith
1937,39,College,Villanova,Head Coach,Clipper Smith
1938,40,College,Villanova,Head Coach,Clipper Smith
1939,41,College,Villanova,Head Coach,Clipper Smith
1940,42,College,Villanova,Head Coach,Clipper Smith
1941,43,College,Villanova,Head Coach,Clipper Smith
1942,44,College,Villanova,Head Coach,Clipper Smith
1946,48,College,San Francisco,Head Coach,Clipper Smith
1947,49,NFL,Boston Yanks,Head Coach,Clipper Smith
1948,50,NFL,Boston Yanks,Head Coach,Clipper Smith
1949,51,College,Lafayette,Head Coach,Clipper Smith
1950,52,College,Lafayette,Head Coach,Clipper Smith
1951,53,College,Lafayette,Head Coach,Clipper Smith
1955,32,College,Montana,Head Coach,Jerry Williams
1956,33,College,Montana,Head Coach,Jerry Williams
1957,34,College,Montana,Head Coach,Jerry Williams
1958,35,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1959,36,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1960,37,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1961,38,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1962,39,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1963,40,NFL,Philadelphia Eagles,Defensive Backfield,Jerry Williams
1964,41,CFL,Calgary Stampeders,Assistant Coach,Jerry Williams
1965,42,CFL,Calgary Stampeders,Head Coach,Jerry Williams
1966,43,CFL,Calgary Stampeders,Head Coach,Jerry Williams
1967,44,CFL,Calgary Stampeders,Head Coach,Jerry Williams
1968,45,CFL,Calgary Stampeders,Head Coach,Jerry Williams
1969,46,NFL,Philadelphia Eagles,Head Coach,Jerry Williams
1970,47,NFL,Philadelphia Eagles,Head Coach,Jerry Williams
1971,48,NFL,Philadelphia Eagles,Head Coach,Jerry Williams
1972,49,CFL,Hamilton Tiger Cats,Head Coach,Jerry Williams
1973,50,CFL,Hamilton Tiger Cats,Head Coach,Jerry Williams
1974,51,CFL,Hamilton Tiger Cats,Head Coach,Jerry Williams
1975,52,CFL,Hamilton Tiger Cats,Head Coach,Jerry Williams
1981,58,CFL,Calgary Stampeders,Offensive Coordinator/Interim HC,Jerry Williams
1920,25,College,New Mexico A&M,Head Coach,Dutch Bergman
1921,26,College,New Mexico A&M,Head Coach,Dutch Bergman
1922,27,College,New Mexico A&M,Head Coach,Dutch Bergman
1924,29,College,Dayton,Assistant Coach,Dutch Bergman
1925,30,College,Dayton,Assistant Coach,Dutch Bergman
1926,31,College,Dayton,Assistant Coach,Dutch Bergman
1927,32,College,Minnesota,Assistant Coach,Dutch Bergman
1928,33,College,Minnesota,Assistant Coach,Dutch Bergman
1929,34,College,Minnesota,Assistant Coach,Dutch Bergman
1930,35,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1931,36,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1932,37,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1933,38,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1934,39,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1935,40,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1936,41,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1937,42,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1938,43,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1939,44,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1940,45,College,Catholic Univ. (DC),Head Coach,Dutch Bergman
1942,47,NFL,Washington Redskins,Scout,Dutch Bergman
1943,48,NFL,Washington Redskins,Head Coach,Dutch Bergman
1937,34,NFL,Pittsburgh Pirates,Head Coach,Johnny Blood
1938,35,NFL,Pittsburgh Pirates,Head Coach,Johnny Blood
1939,36,NFL,Pittsburgh Pirates,Head Coach,Johnny Blood
1940,37,Independent,Kenosha Cardinals,Head Coach,Johnny Blood
1941,38,Independent,Kenosha Cardinals,Head Coach,Johnny Blood
1950,47,College,St. John's (MN),Head Coach,Johnny Blood
1951,48,College,St. John's (MN),Head Coach,Johnny Blood
1952,49,College,St. John's (MN),Head Coach,Johnny Blood
1936,23,College,St. Mary's (CA),Assistant Coach,Eddie Erdelatz
1937,24,College,St. Mary's (CA),Assistant Coach,Eddie Erdelatz
1938,25,College,San Francisco,Assistant Coach,Eddie Erdelatz
1939,26,College,San Francisco,Assistant Coach,Eddie Erdelatz
1940,27,College,St. Mary's (CA),Assistant Coach,Eddie Erdelatz
1941,28,College,St. Mary's (CA),Assistant Coach,Eddie Erdelatz
1945,32,College,Navy,Assistant Coach,Eddie Erdelatz
1946,33,College,Navy,Assistant Coach,Eddie Erdelatz
1947,34,College,Navy,Assistant Coach,Eddie Erdelatz
1948,35,NFL,San Francisco 49ers,Defensive Coach,Eddie Erdelatz
1949,36,NFL,San Francisco 49ers,Defensive Coach,Eddie Erdelatz
1950,37,College,Navy,Head Coach,Eddie Erdelatz
1951,38,College,Navy,Head Coach,Eddie Erdelatz
1952,39,College,Navy,Head Coach,Eddie Erdelatz
1953,40,College,Navy,Head Coach,Eddie Erdelatz
1954,41,College,Navy,Head Coach,Eddie Erdelatz
1955,42,College,Navy,Head Coach,Eddie Erdelatz
1956,43,College,Navy,Head Coach,Eddie Erdelatz
1957,44,College,Navy,Head Coach,Eddie Erdelatz
1958,45,College,Navy,Head Coach,Eddie Erdelatz
1960,47,NFL,Oakland Raiders,Head Coach,Eddie Erdelatz
1961,48,NFL,Oakland Raiders,Head Coach,Eddie Erdelatz
1974,23,College,Idaho State,Linebackers Coach,Kevin Gilbride
1975,24,College,Idaho State,Linebackers Coach,Kevin Gilbride
1976,25,College,Tufts,Linebackers Coach,Kevin Gilbride
1977,26,College,Tufts,Linebackers Coach,Kevin Gilbride
1978,27,College,American International,Defensive Coordinator,Kevin Gilbride
1979,28,College,American International,Defensive Coordinator,Kevin Gilbride
1980,29,College,Southern Connecticut State,Head Coach,Kevin Gilbride
1981,30,College,Southern Connecticut State,Head Coach,Kevin Gilbride
1982,31,College,Southern Connecticut State,Head Coach,Kevin Gilbride
1983,32,College,Southern Connecticut State,Head Coach,Kevin Gilbride
1984,33,College,Southern Connecticut State,Head Coach,Kevin Gilbride
1985,34,CFL,Ottawa Rough Riders,QB/WR Coach,Kevin Gilbride
1986,35,CFL,Ottawa Rough Riders,QB/WR Coach,Kevin Gilbride
1987,36,College,East Carolina,Passing Game Coordinator,Kevin Gilbride
1988,37,College,East Carolina,Offensive Coordinator,Kevin Gilbride
1989,38,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1990,39,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1991,40,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1992,41,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1993,42,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1994,43,NFL,Houston Oilers,Offensive Coordinator,Kevin Gilbride
1995,44,NFL,Jacksonville Jaguars,Offensive Coordinator,Kevin Gilbride
1996,45,NFL,Jacksonville Jaguars,Offensive Coordinator,Kevin Gilbride
1997,46,NFL,San Diego Chargers,Head Coach,Kevin Gilbride
1998,47,NFL,San Diego Chargers,Head Coach,Kevin Gilbride
1999,48,NFL,Pittsburgh Steelers,Offensive Coordinator,Kevin Gilbride
2000,49,NFL,Pittsburgh Steelers,Offensive Coordinator,Kevin Gilbride
2002,51,NFL,Buffalo Bills,Offensive Coordinator,Kevin Gilbride
2003,52,NFL,Buffalo Bills,Offensive Coordinator,Kevin Gilbride
2007,56,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2008,57,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2009,58,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2010,59,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2011,60,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2012,61,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2013,62,NFL,New York Giants,Offensive Coordinator,Kevin Gilbride
2020,69,XFL,New York Guardians,Head Coach,Kevin Gilbride
1925,25,NFL,Providence Steam Roller,Head Coach,Archie Golembeski
1926,26,College,Providence,Head Coach,Archie Golembeski
1927,27,College,Providence,Head Coach,Archie Golembeski
1928,28,College,Providence,Head Coach,Archie Golembeski
1929,29,College,Providence,Head Coach,Archie Golembeski
1930,30,College,Providence,Head Coach,Archie Golembeski
1931,31,College,Providence,Head Coach,Archie Golembeski
1932,32,College,Providence,Head Coach,Archie Golembeski
1933,33,College,Providence,Head Coach,Archie Golembeski
1914,25,High School,Broadway HS (Seattle WA),Head Coach,Gus Henderson
1915,26,High School,Broadway HS (Seattle WA),Head Coach,Gus Henderson
1916,27,High School,Broadway HS (Seattle WA),Head Coach,Gus Henderson
1917,28,High School,Broadway HS (Seattle WA),Head Coach,Gus Henderson
1919,30,College,Southern California,Head Coach,Gus Henderson
1920,31,College,Southern California,Head Coach,Gus Henderson
1921,32,College,Southern California,Head Coach,Gus Henderson
1922,33,College,Southern California,Head Coach,Gus Henderson
1923,34,College,Southern California,Head Coach,Gus Henderson
1924,35,College,Southern California,Head Coach,Gus Henderson
1925,36,College,Tulsa,Head Coach,Gus Henderson
1926,37,College,Tulsa,Head Coach,Gus Henderson
1927,38,College,Tulsa,Head Coach,Gus Henderson
1928,39,College,Tulsa,Head Coach,Gus Henderson
1929,40,College,Tulsa,Head Coach,Gus Henderson
1930,41,College,Tulsa,Head Coach,Gus Henderson
1931,42,College,Tulsa,Head Coach,Gus Henderson
1932,43,College,Tulsa,Head Coach,Gus Henderson
1933,44,College,Tulsa,Head Coach,Gus Henderson
1934,45,College,Tulsa,Head Coach,Gus Henderson
1935,46,College,Tulsa,Head Coach,Gus Henderson
1936,47,AFL,Los Angeles Bulldogs,Head Coach,Gus Henderson
1937,48,AFL,Los Angeles Bulldogs,Head Coach,Gus Henderson
1938,49,AFL,Los Angeles Bulldogs,Head Coach,Gus Henderson
1939,50,NFL,Detroit Lions,Head Coach,Gus Henderson
1940,51,College,Occidental,Head Coach,Gus Henderson
1941,52,College,Occidental,Head Coach,Gus Henderson
1942,53,College,Occidental,Head Coach,Gus Henderson
1944,55,AFL,Los Angeles Wildcats,Head Coach,Gus Henderson
1926,24,NFL,Los Angeles Buccaneers,Head Coach,Tut Imlay
1999,25,College (NCAA D-II),Glenville State,Offensive Assistant,Freddie Kitchens
2000,26,College (FBS),LSU,Graduate Assistant,Freddie Kitchens
2001,27,College (FBS),North Texas,Running Backs,Freddie Kitchens
2002,28,College (FBS),North Texas,Running Backs,Freddie Kitchens
2003,29,College (FBS),North Texas,Running Backs,Freddie Kitchens
2004,30,College (FBS),Mississippi State,Tight Ends,Freddie Kitchens
2005,31,College (FBS),Mississippi State,Running Backs,Freddie Kitchens
2006,32,NFL,Dallas Cowboys,Tight Ends,Freddie Kitchens
2007,33,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
2008,34,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
2009,35,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
2010,36,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
2011,37,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
2012,38,NFL,Arizona Cardinals,Tight Ends,Freddie Kitchens
